# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🙉成人直播_9,#genre#
Teen Girls,http://live.mycamtv.com/teen.m3u8$!
MILF,http://live.mycamtv.com/milf.m3u8$!
Young Girls,http://live.mycamtv.com/young.m3u8$!
Mature,http://live.mycamtv.com/bigtits.m3u8$!
Arab Girls,http://live.mycamtv.com/arab.m3u8$!
Ebony Girls,http://live.mycamtv.com/ebony.m3u8$!
Asian Girls,http://live.mycamtv.com/asian.m3u8$!
Brunette Girls,http://live.mycamtv.com/brunette.m3u8$!
Latina Girls,http://live.mycamtv.com/latina.m3u8$!
White Girls,http://live.mycamtv.com/white.m3u8$!
Blonde Girls,http://live.mycamtv.com/blonde.m3u8$!
Anal,http://live.mycamtv.com/anal.m3u8$!
Big Ass Girls,http://live.mycamtv.com/bigass.m3u8$!
Girls Squirt,http://live.mycamtv.com/squirt.m3u8$!
Big Tits Girls,http://live.mycamtv.com/bigtits.m3u8$!
Skinny Girls,http://live.mycamtv.com/skinny.m3u8$!
Medium Girls,http://live.mycamtv.com/medium.m3u8$!
Blowjob,http://live.mycamtv.com/blowjob.m3u8$!

🙉成人点播_9,#genre#
Live Cams,http://cdn.adultiptv.net/livecams.m3u8$!
MILF,http://cdn.adultiptv.net/milf.m3u8$!
Big Dick,http://cdn.adultiptv.net/bigdick.m3u8$!
Big Tits,http://cdn.adultiptv.net/bigtits.m3u8$!
Fetish,http://cdn.adultiptv.net/fetish.m3u8$!
Pornstar,http://cdn.adultiptv.net/pornstar.m3u8$!
Big Ass,http://cdn.adultiptv.net/bigass.m3u8$!
Interracial,http://cdn.adultiptv.net/interracial.m3u8$!
Latina,http://cdn.adultiptv.net/latina.m3u8$!
POV,http://cdn.adultiptv.net/pov.m3u8$!
Blowjob,http://cdn.adultiptv.net/blowjob.m3u8$!
Teen,http://cdn.adultiptv.net/teen.m3u8$!
Hardcore,http://cdn.adultiptv.net/hardcore.m3u8$!
Cuckold,http://cdn.adultiptv.net/cuckold.m3u8$!
Threesome,http://cdn.adultiptv.net/threesome.m3u8$!
Russian,http://cdn.adultiptv.net/russian.m3u8$!
Lesbian,http://cdn.adultiptv.net/lesbian.m3u8$!
Rough,http://cdn.adultiptv.net/rough.m3u8$!
Gangbang,http://cdn.adultiptv.net/gangbang.m3u8$!
Anal,http://cdn.adultiptv.net/anal.m3u8$!
Compilation,http://cdn.adultiptv.net/compilation.m3u8$!
Brunette,http://cdn.adultiptv.net/brunette.m3u8$!
Blonde,http://cdn.adultiptv.net/blonde.m3u8$!
Gay,http://cdn.adultiptv.net/gay.m3u8$!
Asian,http://cdn.adultiptv.net/asian.m3u8$!
